embed_name	status	target
five-nights-at-freddys-3.html	OK	https://fnafunblocked.github.io/3/
five-nights-at-freddys-4.html	OK	https://fnafunblocked.github.io/4/
five-nights-at-freddys-5.html	OK	https://fnafunblocked.github.io/5/
five-nights-at-freddys.html	OK	https://jasongamesdev.github.io/five-nights-at-freddy/
flappy-bird.html	OK	https://jasongamesdev.github.io/flappy-bird/
flappy-dunk.html	OK	https://jasongamesdev.github.io/flappy-dunk/
fleeing-the-complex.html	OK	https://htmlxm.github.io/h7/fleeing-the-complex
flying-gorilla.html	OK	https://jasongamesdev.github.io/flying-gorilla/
fnaf-2.html	OK	https://jasongamesdev.github.io/fnaf-2/
football-brawl.html	OK	https://ubg98.github.io/FootballBrawl/
football-legends.html	OK	https://ubg98.github.io/FootballLegends/
football-masters.html	OK	https://ubg98.github.io/FootballMasters/
football-strike.html	OK	https://ubg98.github.io/FootballStrike/
football-us.html	OK	https://jasongamesdev.github.io/football-us/
freecell-solitaire.html	OK	https://freecellsolitaire.github.io/
friday-night-funkin.html	OK	https://jasongamesdev.github.io/friday-night-funkin/
fruit-merge.html	OK	https://jasongamesdev.github.io/fruit-merge/
fruit-ninja.html	OK	https://ubg98.github.io/FruitNinja/
fruita-crush.html	OK	https://ubg98.github.io/FruitaCrush/
funny-shooter-2.html	OK	https://jasongamesdev.github.io/funny-shooter-2/
g-switch-2.html	OK	https://ubg98.github.io/GSwitch2/
g-switch-3.html	OK	https://jasongamesdev.github.io/g-switch-3/
g-switch-4.html	OK	https://ubg98.github.io/GSwitch4/
g-switch.html	OK	https://jasongamesdev.github.io/g-switch/
game-of-farmers.html	OK	https://ubgwtf.gitlab.io/game-of-farmers/
geometry-dash-lite.html	OK	https://jasongamesdev.github.io/geometry-dash-lite/
geometry-dash-subzero.html	OK	https://jasongamesdev.github.io/geometry-dash-subzero/
geometry-dash.html	OK	https://ubg98.github.io/GeometryDash/
geometry-jump.html	OK	https://ubg98.github.io/GeometryJump/
getaway-shootout.html	OK	https://jasongamesdev.github.io/getaway-shootout/
getting-over-it.html	OK	https://jasongamesdev.github.io/getting-over-it/
gobdun.html	OK	https://ubg98.github.io/Gobdun/
gold-digger-frvr.html	OK	https://ubgwtf.gitlab.io/gold-digger-frvr/
gp-moto-racing-3.html	OK	https://ubgwtf.gitlab.io/gp-moto-racing-3/
granny-2.html	OK	https://jasongamesdev.github.io/granny-2/
granny.html	OK	https://jasongamesdev.github.io/granny/
grindcraft-remastered.html	OK	https://ubgwtf.gitlab.io/grindcraft-remastered/
guess-the-kitty.html	OK	https://ubg98.github.io/GuessTheKitty/
gunspin-2.html	OK	https://jasongamesdev.github.io/gunspin2/
gunspin2.html	OK	https://storeg223.github.io/g5/class-533/
hanger.html	OK	https://ubg98.github.io/Hanger/
happy-fishing.html	OK	https://ubg98.github.io/HappyFishing/
happy-wheels.html	OK	https://jasongamesdev.github.io/happy-wheels/
head-soccer-2023.html	OK	https://ubg98.github.io/HeadSoccer2023/
heads-arena-soccer-all-stars.html	OK	https://ubg98.github.io/HeadsArenaSoccerAllStars/
henry-stickminbreaking-the-bank.html	OK	https://ubgwtf.gitlab.io/breaking-the-bank/
henry-stickminescaping-the-prison.html	OK	https://ubgwtf.gitlab.io/escaping-the-prison/
hexanautio.html	OK	https://jasongamesdev.github.io/hexanaut.io/
highway-bike-simulator.html	OK	https://ubgwtf.gitlab.io/highway-bike-simulator/
highway-rider-extreme.html	OK	https://jasongamesdev.github.io/highway-rider-extreme/
highway-traffic.html	OK	https://jasongamesdev.github.io/highway-traffic/
hill-climb-racing.html	OK	https://jasongamesdev.github.io/hill-climb-racing/
hop-pop-it.html	OK	https://ubg98.github.io/HopPopIt/
house-of-hazards.html	OK	https://jasongamesdev.github.io/house-of-hazards/
hover-racer-drive.html	OK	https://ubgwtf.gitlab.io/hover-racer-drive/
icy-purple-head-2.html	OK	https://ubg98.github.io/IcyPurpleHead2/
icy-purple-head-3.html	OK	https://ubg98.github.io/IcyPurpleHead3/
idle-breakout.html	OK	https://jasongamesdev.github.io/idle-breakout/
idle-dice.html	OK	https://jasongamesdev.github.io/idle-dice/
idle-digging-tycoon.html	OK	https://ubgwtf.gitlab.io/idle-digging-tycoon/
idle-mining-empire.html	OK	https://ubg98.github.io/IdleMiningEmpire/
idle-restaurants.html	OK	https://ubg98.github.io/IdleRestaurants/
indian-uphill-bus-simulator-3d.html	OK	https://ubgwtf.gitlab.io/indian-uphill-bus-simulator-3d/
infinite-craft.html	OK	https://cmug.gitlab.io/infinite-craft/
infinite-soccer.html	OK	https://ubg98.github.io/InfiniteSoccer/
iron-snout-2.html	OK	https://ubgwtf.gitlab.io/iron-snout-2/
iron-snout.html	OK	https://ubg98.github.io/IronSnout/
jelly-truck.html	OK	https://jasongamesdev.github.io/jelly-truck/
jellycar-worlds.html	OK	https://ubgwtf.gitlab.io/jellycar-worlds/
jump-monster.html	OK	https://ubgwtf.gitlab.io/jump-monster/
klondike-solitaire.html	OK	https://klondikesolitaire.github.io/
level-devil.html	OK	https://jasongamesdev.github.io/level-devil/
little-alchemy-2.html	OK	https://jasongamesdev.github.io/little-alchemy-2/
little-alchemy.html	OK	https://jasongamesdev.github.io/little-alchemy/
madalin-stunt-cars-2.html	OK	https://jasongamesdev.github.io/madalin-stunt-cars-2/
madness-project-nexus.html	OK	https://script.google.com/macros/s/AKfycbwbI_tB1kBbU8iWhPYtjOOapSLTPAV2XHS6e1pB2WurlD2gzMxuZHd59YtI9VSNj68a/exec
magikmon.html	OK	https://ubgwtf.gitlab.io/magikmon/
make-it-meme.html	OK	https://jasongamesdev.github.io/make-it-meme/
marbles-sorting.html	OK	https://ubg98.github.io/MarblesSorting/
merge-cyber-racers.html	OK	https://ubgwtf.gitlab.io/merge-cyber-racers/
merge-round-racers.html	OK	https://ubgwtf.gitlab.io/merge-round-racers/
minecraft-case-simulator.html	OK	https://ubg98.github.io/MinecraftCaseSimulator/
minecraft-classic-sandbox.html	OK	https://minecraft-free-online.github.io/minecraft-github/
minesweeper.html	OK	https://jasongamesdev.github.io/minesweeper/
mini-shooters.html	OK	https://cmug.gitlab.io/mini-shooters/
mob-city.html	OK	https://iframe.unblocked-76-games.org/mob-city-main
monkey-mart.html	OK	https://jasongamesdev.github.io/monkey-mart/
mortal-kombat-4.html	OK	https://script.google.com/macros/s/AKfycbyqEY_4xAj8cxYxDVbOSLqjOMx5P3J_RExX4XYMvrZD9qFpb1QunqOSGZ5q_TsGFzvYew/exec
moto-x3m-2.html	OK	https://motox3munblocked.github.io/2/
moto-x3m-3.html	OK	https://ubgwtf.gitlab.io/motox3m-3/
moto-x3m-4-winter.html	OK	https://jasongamesdev.github.io/moto-x3m-4-winter/
moto-x3m-5-pool-party.html	OK	https://jasongamesdev.github.io/moto-x3m-5-pool-party/
moto-x3m-6-spooky-land.html	OK	https://jasongamesdev.github.io/moto-x3m-6-spooky-land/
moto-x3m.html	OK	https://jasongamesdev.github.io/moto-x3m/
moto-x3ms.html	OK	https://jasongamesdev.github.io/moto-x3ms/
mr-bullet-3d.html	OK	https://ubg98.github.io/MrBullet3D/
mr-bullet.html	OK	https://ubg98.github.io/MrBullet/
murder.html	OK	https://jasongamesdev.github.io/murder/
need-for-speed-dirft-car.html	OK	https://jasongamesdev.github.io/need-for-speed-dirft-car/
need-for-speed-drift-car.html	OK	https://jasongamesdev.github.io/need-for-speed-dirft-car/
neon-biker.html	OK	https://neonbikergame.github.io/
neon-hill-rider.html	OK	https://ubgwtf.gitlab.io/neon-hill-rider/
neon-racer.html	OK	https://neonracergame.github.io/
ninja-cat-exploit.html	OK	https://ubg98.github.io/NinjaCatExploit/
ovo-2.html	OK	https://jasongamesdev.github.io/ovo-2/
ovo-dimension.html	OK	https://ubgwtf.gitlab.io/ovo-dimensions/
ovo.html	OK	https://jasongamesdev.github.io/ovo/
pacman-html5.html	OK	https://ubg98.github.io/PacmanHTML5/
papa-cherry-saga.html	OK	https://ubg98.github.io/PapaCherrySaga/
papa-s-burgeria.html	OK	https://jasongamesdev.github.io/papa-s-burgeria/
papa-s-pancakeria.html	OK	https://jasongamesdev.github.io/papa-s-pancakeria/
papa-s-scooperia.html	OK	https://jasongamesdev.github.io/papa-s-scooperia/
papas-burgeria.html	OK	https://jasongamesdev.github.io/papa-s-burgeria/
papas-freezeria.html	OK	https://jasongamesdev.github.io/papas-freezeria/
papas-pancakeria.html	OK	https://jasongamesdev.github.io/papa-s-pancakeria/
papas-pizzeria.html	OK	https://jasongamesdev.github.io/papas-pizzeria/
papas-scooperia.html	OK	https://jasongamesdev.github.io/papa-s-scooperia/
papas-wingeria.html	OK	https://script.google.com/macros/s/AKfycbwyp3PZJQKWIXWdAsBEUn_rwzW5lmR6ATwqhZVS4T_DG4fB4kIefEBcdtZMAQ13QRRf/exec
paper-io.html	OK	https://jasongamesdev.github.io/paper-io/
paperio-2.html	OK	https://jasongamesdev.github.io/paper.io-2/
paperio.html	OK	https://jasongamesdev.github.io/paper-io/
park-out.html	OK	https://ubg98.github.io/ParkOut/
parking-fury-2.html	OK	https://ubg98.github.io/ParkingFury2/
parking-fury-3.html	OK	https://ubg98.github.io/ParkingFury3/
parking-fury.html	OK	https://jasongamesdev.github.io/parking-fury/
parkour-race.html	OK	https://ubgwtf.gitlab.io/parkour-race/
penalty-kick-online.html	OK	https://jasongamesdev.github.io/penalty-kick-online/
penalty-kick.html	OK	https://jasongamesdev.github.io/penalty-kick/
ping-pong-chaos.html	OK	https://jasongamesdev.github.io/ping-pong-chaos/
pixel-shooter.html	OK	https://jasongamesdev.github.io/pixel-shooter/
pizza-tower.html	OK	https://jasongamesdev.github.io/pizza-tower/
police-chase-drifter.html	OK	https://cmug.gitlab.io/police-chase-drifter/
police-chase-real-cop-driver.html	OK	https://mc0825.github.io/g89/class-1181/
polytrack.html	OK	https://jasongamesdev.github.io/polytrack/
poodle-jump.html	OK	https://jasongamesdev.github.io/poodle-jump/
poop-clicker.html	OK	https://jasongamesdev.github.io/poop-clicker/
pop-it-master.html	OK	https://ubgwtf.gitlab.io/pop-it-master/
pou.html	OK	https://ubg98.github.io/Pou/
princesses-prom-night.html	OK	https://cmug.gitlab.io/princesses-prom-night/
pudding-monsters.html	OK	https://ubg98.github.io/PuddingMonsters/
rabbit-samurai-2.html	OK	https://ubg98.github.io/RabbitSamurai2/
racing-monster-trucks.html	OK	https://ubg98.github.io/RacingMonsterTrucks/
raft-wars-2.html	OK	https://ubg98.github.io/RaftWars2/
raft-wars.html	OK	https://jasongamesdev.github.io/raft-wars/
ragdoll-archers.html	OK	https://jasongamesdev.github.io/ragdoll-archers/
ragdoll-hit.html	OK	https://jasongamesdev.github.io/ragdoll-hit/
rally-point.html	OK	https://ubgwtf.gitlab.io/rally-point/
real-flight.html	OK	https://jasongamesdev.github.io/real-flight/
red-ball-4.html	OK	https://redballunblocked.github.io/4/
red-impostor.html	OK	https://jasongamesdev.github.io/red-impostor/
retro-bowl.html	OK	https://jasongamesdev.github.io/retro-bowl/
rocket-soccer-derby.html	OK	https://jasongamesdev.github.io/rocket-soccer-derby/
rooftop-sniper.html	OK	https://jasongamesdev.github.io/rooftop-sniper/
rooftop-snipers.html	OK	https://jasongamesdev.github.io/rooftop-snipers/
roofttop-shooters.html	OK	https://ubgwtf.gitlab.io/rooftop-shooters/
roper.html	OK	https://ubg98.github.io/Roper/
rowdy-wrestling.html	OK	https://htmlxm.github.io/h6/rowdy-wrestling
run-3.html	OK	https://jasongamesdev.github.io/run-3/
rusher-crusher.html	OK	https://ubg98.github.io/RusherCrusher/
save-the-doge.html	OK	https://ubg98.github.io/SaveTheDoge/
sbrunga.html	OK	https://jasongamesdev.github.io/sbrunga/
sci-fi-flight-simulator.html	OK	https://jasongamesdev.github.io/scifi-flight-simulator/
scifi-flight-simulator.html	OK	https://jasongamesdev.github.io/scifi-flight-simulator/
short-life.html	OK	https://jasongamesdev.github.io/short-life/
slice-master-2.html	OK	https://jasongamesdev.github.io/slice-master2/
slice-master.html	OK	https://jasongamesdev.github.io/slice-master/
slice-master2.html	OK	https://jasongamesdev.github.io/slice-master2/
sling-tomb.html	OK	https://ubg98.github.io/SlingTomb/
slope-2.html	OK	https://jasongamesdev.github.io/slope-2/
slope-3.html	OK	https://jasongamesdev.github.io/slope-3/
slope-ball.html	OK	https://jasongamesdev.github.io/slope-ball/
slope-game.html	OK	https://ubg98.github.io/SlopeGame/
slope-run.html	OK	https://jasongamesdev.github.io/slope-run/
slope.html	OK	https://jasongamesdev.github.io/slope/
smash-karts.html	OK	https://jasongamesdev.github.io/smash-karts/
snail-bob-2.html	OK	https://ubg98.github.io/SnailBob2/
snail-bob-3.html	OK	https://ubg98.github.io/SnailBob3/
snail-bob-4.html	OK	https://ubg98.github.io/SnailBob4/
snail-bob-5.html	OK	https://ubg98.github.io/SnailBob5/
snail-bob-6.html	OK	https://ubg98.github.io/SnailBob6/
